district,year,owner,usage_ha
Hard,2037,private housing,9.8007
Hard,2038,cooperative housing,9.8897
Hard,2038,private housing,9.4164
Hard,2039,cooperative housing,9.5019
Hard,2039,private housing,9.0472
Hard,2040,cooperative housing,9.1293
Hard,2040,private housing,8.6924
Hard,2041,cooperative housing,8.7714
Hard,2041,private housing,8.3516
Hard,2042,cooperative housing,8.4274
Hard,2042,private housing,8.0241
Hard,2043,cooperative housing,8.097
Hard,2043,private housing,7.7095
Hard,2044,cooperative housing,7.7795
Hard,2044,private housing,7.4072
Hard,2045,cooperative housing,7.4745
Hard,2045,private housing,7.1167
Hard,2046,cooperative housing,7.1814
Hard,2046,private housing,6.8377
Hard,2047,cooperative housing,6.8998
Hard,2047,private housing,6.5696
Hard,2048,cooperative housing,6.6293
Hard,2048,private housing,6.312
Hard,2049,cooperative housing,6.3693
Hard,2049,private housing,6.0645
Hard,2050,cooperative housing,6.1196
Hard,2050,private housing,5.8267
Gewerbeschule,2021,cooperative housing,13.9202
Gewerbeschule,2021,private housing,10.8055
Gewerbeschule,2022,cooperative housing,13.3744
Gewerbeschule,2022,private housing,10.3818
Gewerbeschule,2023,cooperative housing,12.85
Gewerbeschule,2023,private housing,9.9747
Gewerbeschule,2024,cooperative housing,12.3461
Gewerbeschule,2024,private housing,9.5836
Gewerbeschule,2025,cooperative housing,11.862
Gewerbeschule,2025,private housing,9.2078
Gewerbeschule,2026,cooperative housing,11.3969
Gewerbeschule,2026,private housing,8.8468
Gewerbeschule,2027,cooperative housing,10.95
Gewerbeschule,2027,private housing,8.4999
Gewerbeschule,2028,cooperative housing,10.5207
Gewerbeschule,2028,private housing,8.1666
Gewerbeschule,2029,cooperative housing,10.1081
Gewerbeschule,2029,private housing,7.8464
Gewerbeschule,2030,cooperative housing,9.7118
Gewerbeschule,2030,private housing,7.5387
Gewerbeschule,2031,cooperative housing,9.331
Gewerbeschule,2031,private housing,7.2431
Gewerbeschule,2032,cooperative housing,8.9651
Gewerbeschule,2032,private housing,6.9591
Gewerbeschule,2033,cooperative housing,8.6136
Gewerbeschule,2033,private housing,6.6863
Gewerbeschule,2034,cooperative housing,8.2758
Gewerbeschule,2034,private housing,6.4241
Gewerbeschule,2035,cooperative housing,7.9513
